GENESIS-Tabelle: 12421-104r
Demographiespiegel: Gemeinden, Bevölkerung,;;;;;;;
Geschlecht, Altersgruppen, Stichtag;;;;;;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;;;;;;
31.12.2019;;;;;;;
;;;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung
;;;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren
;;;Insgesamt;unter 18;18 bis unter 40;40 bis unter 65;65 oder mehr Jahre
;;;1000;1000;1000;1000;1000
09474135;Heroldsbach;Insgesamt;5,06;0,85;1,29;2,00;0,93
09474137;Hetzles;männlich;0,68;0,12;0,17;0,28;0,12
09474137;Hetzles;weiblich;0,67;0,11;0,17;0,26;0,13
09474137;Hetzles;Insgesamt;1,35;0,23;0,34;0,53;0,25
09474138;Hiltpoltstein, M;männlich;0,79;0,10;0,20;0,31;0,17
09474138;Hiltpoltstein, M;weiblich;0,76;0,12;0,16;0,31;0,17
09474138;Hiltpoltstein, M;Insgesamt;1,54;0,22;0,36;0,62;0,34
09474140;Igensdorf, M;männlich;2,59;0,51;0,58;1,02;0,48
09474140;Igensdorf, M;weiblich;2,49;0,45;0,55;1,02;0,48
09474140;Igensdorf, M;Insgesamt;5,08;0,96;1,13;2,04;0,96
09474143;Kirchehrenbach;männlich;1,11;0,15;0,29;0,45;0,21
09474143;Kirchehrenbach;weiblich;1,10;0,17;0,26;0,42;0,26
09474143;Kirchehrenbach;Insgesamt;2,21;0,32;0,55;0,87;0,47
09474144;Kleinsendelbach;männlich;0,73;0,12;0,15;0,31;0,15
09474144;Kleinsendelbach;weiblich;0,73;0,12;0,16;0,29;0,16
09474144;Kleinsendelbach;Insgesamt;1,46;0,24;0,32;0,60;0,30
09474145;Kunreuth;männlich;0,73;0,12;0,19;0,28;0,13
09474145;Kunreuth;weiblich;0,70;0,12;0,16;0,27;0,14
09474145;Kunreuth;Insgesamt;1,43;0,25;0,35;0,56;0,28
09474146;Langensendelbach;männlich;1,53;0,29;0,35;0,60;0,30
09474146;Langensendelbach;weiblich;1,59;0,33;0,36;0,58;0,33
09474146;Langensendelbach;Insgesamt;3,12;0,61;0,71;1,17;0,63
09474147;Leutenbach;männlich;0,86;0,13;0,25;0,34;0,14
09474147;Leutenbach;weiblich;0,81;0,14;0,21;0,30;0,17
09474147;Leutenbach;Insgesamt;1,66;0,27;0,46;0,63;0,30
09474154;Neunkirchen a.Brand, M;männlich;4,00;0,70;0,93;1,52;0,86
09474154;Neunkirchen a.Brand, M;weiblich;4,12;0,70;0,87;1,49;1,05
09474154;Neunkirchen a.Brand, M;Insgesamt;8,12;1,40;1,80;3,01;1,91
09474156;Obertrubach;männlich;1,14;0,17;0,32;0,48;0,17
09474156;Obertrubach;weiblich;1,07;0,18;0,27;0,43;0,19
09474156;Obertrubach;Insgesamt;2,21;0,35;0,59;0,92;0,36
09474158;Pinzberg;männlich;0,98;0,17;0,27;0,38;0,16
09474158;Pinzberg;weiblich;0,99;0,17;0,25;0,39;0,19
09474158;Pinzberg;Insgesamt;1,97;0,34;0,52;0,77;0,35
09474160;Poxdorf;männlich;0,75;0,12;0,19;0,28;0,15
09474160;Poxdorf;weiblich;0,75;0,13;0,17;0,29;0,16
09474160;Poxdorf;Insgesamt;1,49;0,25;0,36;0,58;0,31
09474161;Pretzfeld, M;männlich;1,19;0,21;0,30;0,45;0,24
09474161;Pretzfeld, M;weiblich;1,16;0,18;0,26;0,48;0,25
09474161;Pretzfeld, M;Insgesamt;2,36;0,39;0,55;0,93;0,49
09474168;Unterleinleiter;männlich;0,57;0,09;0,13;0,25;0,11
09474168;Unterleinleiter;weiblich;0,62;0,10;0,13;0,23;0,15
09474168;Unterleinleiter;Insgesamt;1,19;0,19;0,26;0,48;0,26
09474171;Weilersbach;männlich;0,99;0,17;0,24;0,40;0,18
09474171;Weilersbach;weiblich;1,01;0,16;0,25;0,40;0,20
09474171;Weilersbach;Insgesamt;2,00;0,33;0,49;0,80;0,38
09474173;Weißenohe;männlich;0,59;0,10;0,15;0,25;0,09
09474173;Weißenohe;weiblich;0,58;0,09;0,16;0,22;0,12
09474173;Weißenohe;Insgesamt;1,17;0,19;0,31;0,46;0,21
09474175;Wiesenthau;männlich;0,80;0,15;0,18;0,31;0,17
09474175;Wiesenthau;weiblich;0,81;0,13;0,17;0,31;0,20
09474175;Wiesenthau;Insgesamt;1,61;0,28;0,35;0,61;0,37
09474176;Wiesenttal, M;männlich;1,24;0,19;0,27;0,50;0,28
09474176;Wiesenttal, M;weiblich;1,24;0,19;0,24;0,47;0,34
09474176;Wiesenttal, M;Insgesamt;2,48;0,38;0,51;0,97;0,62
09475112;Bad Steben, M;männlich;1,62;0,21;0,31;0,58;0,52
09475112;Bad Steben, M;weiblich;1,78;0,19;0,31;0,60;0,69
09475112;Bad Steben, M;Insgesamt;3,40;0,39;0,62;1,18;1,21
09475113;Berg;männlich;1,06;0,17;0,23;0,41;0,24
09475113;Berg;weiblich;1,06;0,15;0,21;0,39;0,31
09475113;Berg;Insgesamt;2,12;0,32;0,44;0,80;0,55
09475120;Döhlau;männlich;1,93;0,35;0,40;0,74;0,45
09475120;Döhlau;weiblich;1,92;0,30;0,39;0,76;0,46
09475120;Döhlau;Insgesamt;3,85;0,65;0,79;1,50;0,91
09475123;Feilitzsch;männlich;1,44;0,21;0,30;0,59;0,34
09475123;Feilitzsch;weiblich;1,37;0,21;0,26;0,54;0,36
09475123;Feilitzsch;Insgesamt;2,81;0,42;0,56;1,13;0,70
09475127;Gattendorf;männlich;0,51;0,07;0,13;0,21;0,10
09475127;Gattendorf;weiblich;0,52;0,08;0,11;0,21;0,11
09475127;Gattendorf;Insgesamt;1,02;0,15;0,24;0,42;0,21
09475128;Geroldsgrün;männlich;1,37;0,19;0,28;0,54;0,36
09475128;Geroldsgrün;weiblich;1,35;0,17;0,22;0,50;0,46
09475128;Geroldsgrün;Insgesamt;2,71;0,35;0,50;1,04;0,82
09475136;Helmbrechts, St;männlich;4,08;0,56;0,94;1,60;0,99
09475136;Helmbrechts, St;weiblich;4,29;0,58;0,88;1,55;1,28
09475136;Helmbrechts, St;Insgesamt;8,37;1,14;1,82;3,15;2,27
09475137;Issigau;männlich;0,50;0,08;0,11;0,18;0,14
09475137;Issigau;weiblich;0,51;0,07;0,10;0,19;0,15
09475137;Issigau;Insgesamt;1,01;0,15;0,21;0,37;0,29
09475141;Köditz;männlich;1,21;0,17;0,29;0,50;0,24
09475141;Köditz;weiblich;1,25;0,18;0,28;0,51;0,29
09475141;Köditz;Insgesamt;2,45;0,35;0,57;1,01;0,53
09475142;Konradsreuth;männlich;1,55;0,22;0,39;0,60;0,34
09475142;Konradsreuth;weiblich;1,59;0,23;0,35;0,59;0,42
09475142;Konradsreuth;Insgesamt;3,14;0,45;0,74;1,20;0,76
09475145;Leupoldsgrün;männlich;0,59;0,09;0,13;0,25;0,13
09475145;Leupoldsgrün;weiblich;0,61;0,09;0,14;0,22;0,16
09475145;Leupoldsgrün;Insgesamt;1,20;0,18;0,27;0,47;0,28
09475146;Lichtenberg, St;männlich;0,51;0,06;0,13;0,19;0,14
09475146;Lichtenberg, St;weiblich;0,53;0,06;0,11;0,19;0,16
09475146;Lichtenberg, St;Insgesamt;1,04;0,12;0,24;0,38;0,30
09475154;Münchberg, St;männlich;4,88;0,78;1,23;1,79;1,08
09475154;Münchberg, St;weiblich;5,23;0,73;1,23;1,83;1,44
09475154;Münchberg, St;Insgesamt;10,11;1,51;2,46;3,62;2,52
09475156;Naila, St;männlich;3,72;0,60;0,87;1,38;0,87
09475156;Naila, St;weiblich;3,93;0,53;0,79;1,46;1,15
09475156;Naila, St;Insgesamt;7,65;1,12;1,66;2,84;2,02
09475158;Oberkotzau, M;männlich;2,62;0,46;0,62;1,00;0,54
09475158;Oberkotzau, M;weiblich;2,74;0,42;0,60;0,99;0,73
09475158;Oberkotzau, M;Insgesamt;5,36;0,88;1,23;1,99;1,27
09475161;Regnitzlosau;männlich;1,14;0,18;0,25;0,45;0,27
09475161;Regnitzlosau;weiblich;1,17;0,20;0,22;0,46;0,29
09475161;Regnitzlosau;Insgesamt;2,32;0,37;0,47;0,91;0,56
09475162;Rehau, St;männlich;4,64;0,74;1,20;1,74;0,96
09475162;Rehau, St;weiblich;4,76;0,72;1,00;1,73;1,31
09475162;Rehau, St;Insgesamt;9,40;1,45;2,20;3,47;2,28
09475165;Schauenstein, St;männlich;0,95;0,14;0,20;0,37;0,24
09475165;Schauenstein, St;weiblich;0,95;0,13;0,19;0,37;0,27
09475165;Schauenstein, St;Insgesamt;1,90;0,27;0,39;0,74;0,50
09475168;Schwarzenbach a.d.Saale, St;männlich;3,38;0,50;0,85;1,27;0,77
09475168;Schwarzenbach a.d.Saale, St;weiblich;3,54;0,50;0,77;1,27;1,01
09475168;Schwarzenbach a.d.Saale, St;Insgesamt;6,93;1,01;1,61;2,53;1,77
09475169;Schwarzenbach a.Wald, St;männlich;2,10;0,25;0,44;0,85;0,57
09475169;Schwarzenbach a.Wald, St;weiblich;2,22;0,26;0,37;0,84;0,75
09475169;Schwarzenbach a.Wald, St;Insgesamt;4,32;0,51;0,81;1,69;1,32
09475171;Selbitz, St;männlich;2,02;0,30;0,47;0,75;0,50
09475171;Selbitz, St;weiblich;2,23;0,29;0,43;0,76;0,76
09475171;Selbitz, St;Insgesamt;4,25;0,59;0,90;1,51;1,25
09475174;Sparneck, M;männlich;0,77;0,11;0,16;0,31;0,19
09475174;Sparneck, M;weiblich;0,80;0,11;0,16;0,29;0,23
09475174;Sparneck, M;Insgesamt;1,57;0,23;0,33;0,60;0,42
09475175;Stammbach, M;männlich;1,16;0,18;0,25;0,48;0,25
09475175;Stammbach, M;weiblich;1,22;0,18;0,25;0,48;0,32
09475175;Stammbach, M;Insgesamt;2,38;0,36;0,50;0,95;0,57
09475181;Töpen;männlich;0,50;0,06;0,13;0,21;0,10
09475181;Töpen;weiblich;0,52;0,08;0,12;0,19;0,13
09475181;Töpen;Insgesamt;1,02;0,13;0,25;0,40;0,23
09475182;Trogen;männlich;0,69;0,11;0,16;0,26;0,15
09475182;Trogen;weiblich;0,73;0,13;0,17;0,28;0,15
09475182;Trogen;Insgesamt;1,42;0,24;0,34;0,54;0,30
09475184;Weißdorf;männlich;0,58;0,08;0,13;0,23;0,14
09475184;Weißdorf;weiblich;0,57;0,08;0,12;0,22;0,15
09475184;Weißdorf;Insgesamt;1,15;0,16;0,25;0,45;0,29
09475189;Zell im Fichtelgebirge, M;männlich;0,96;0,16;0,19;0,36;0,25
09475189;Zell im Fichtelgebirge, M;weiblich;0,97;0,12;0,17;0,37;0,31
09475189;Zell im Fichtelgebirge, M;Insgesamt;1,93;0,27;0,36;0,73;0,56
09475444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09475444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09475444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09476145;Kronach, St;männlich;8,19;1,15;2,11;3,15;1,79
09476145;Kronach, St;weiblich;8,62;1,14;1,85;3,22;2,41
09476145;Kronach, St;Insgesamt;16,82;2,29;3,96;6,37;4,20
09476146;Küps, M;männlich;3,79;0,62;0,88;1,52;0,77
09476146;Küps, M;weiblich;3,97;0,59;0,87;1,54;0,97
09476146;Küps, M;Insgesamt;7,76;1,21;1,75;3,06;1,74
09476152;Ludwigsstadt, St;männlich;1,71;0,26;0,40;0,64;0,41
09476152;Ludwigsstadt, St;weiblich;1,72;0,24;0,33;0,61;0,54
09476152;Ludwigsstadt, St;Insgesamt;3,43;0,50;0,74;1,25;0,95
09476154;Mitwitz, M;männlich;1,40;0,23;0,33;0,54;0,30
09476154;Mitwitz, M;weiblich;1,38;0,21;0,29;0,52;0,35
09476154;Mitwitz, M;Insgesamt;2,78;0,44;0,62;1,07;0,66
09476159;Nordhalben, M;männlich;0,80;0,09;0,16;0,36;0,20
09476159;Nordhalben, M;weiblich;0,83;0,10;0,14;0,34;0,25
09476159;Nordhalben, M;Insgesamt;1,62;0,19;0,30;0,70;0,44
09476164;Pressig, M;männlich;1,92;0,30;0,46;0,75;0,41
09476164;Pressig, M;weiblich;1,97;0,28;0,44;0,73;0,53
09476164;Pressig, M;Insgesamt;3,89;0,57;0,90;1,48;0,94
09476166;Reichenbach;männlich;0,33;0,04;0,06;0,16;0,08
09476166;Reichenbach;weiblich;0,33;0,04;0,05;0,15;0,09
09476166;Reichenbach;Insgesamt;0,66;0,07;0,11;0,30;0,17
09476171;Schneckenlohe;männlich;0,51;0,08;0,13;0,21;0,10
09476171;Schneckenlohe;weiblich;0,52;0,07;0,11;0,21;0,13
09476171;Schneckenlohe;Insgesamt;1,03;0,15;0,24;0,41;0,23
09476175;Steinbach a.Wald;männlich;1,56;0,23;0,40;0,63;0,29
09476175;Steinbach a.Wald;weiblich;1,53;0,20;0,33;0,62;0,39
09476175;Steinbach a.Wald;Insgesamt;3,09;0,43;0,73;1,25;0,68
09476177;Steinwiesen, M;männlich;1,73;0,24;0,44;0,70;0,35
09476177;Steinwiesen, M;weiblich;1,71;0,24;0,38;0,65;0,44
09476177;Steinwiesen, M;Insgesamt;3,44;0,48;0,82;1,35;0,79
09476178;Stockheim;männlich;2,41;0,35;0,56;0,97;0,54
09476178;Stockheim;weiblich;2,44;0,35;0,51;0,94;0,64
09476178;Stockheim;Insgesamt;4,85;0,71;1,06;1,91;1,17
09476179;Tettau, M;männlich;0,99;0,12;0,24;0,41;0,23
09476179;Tettau, M;weiblich;1,03;0,13;0,22;0,38;0,29
09476179;Tettau, M;Insgesamt;2,02;0,25;0,46;0,79;0,52
09476180;Teuschnitz, St;männlich;0,97;0,12;0,22;0,40;0,22
09476180;Teuschnitz, St;weiblich;1,01;0,13;0,21;0,37;0,30
09476180;Teuschnitz, St;Insgesamt;1,97;0,25;0,43;0,77;0,52
09476182;Tschirn;männlich;0,27;0,04;0,06;0,11;0,06
09476182;Tschirn;weiblich;0,26;0,03;0,06;0,10;0,07
09476182;Tschirn;Insgesamt;0,53;0,07;0,12;0,21;0,13
09476183;Marktrodach, M;männlich;1,85;0,25;0,43;0,73;0,44
09476183;Marktrodach, M;weiblich;1,92;0,28;0,42;0,70;0,53
09476183;Marktrodach, M;Insgesamt;3,76;0,53;0,85;1,43;0,96
09476184;Wallenfels, St;männlich;1,31;0,16;0,29;0,54;0,32
09476184;Wallenfels, St;weiblich;1,31;0,13;0,26;0,50;0,42
09476184;Wallenfels, St;Insgesamt;2,63;0,30;0,55;1,04;0,74
09476185;Weißenbrunn;männlich;1,44;0,20;0,37;0,56;0,31
09476185;Weißenbrunn;weiblich;1,42;0,18;0,28;0,58;0,39
09476185;Weißenbrunn;Insgesamt;2,86;0,37;0,65;1,14;0,70
09476189;Wilhelmsthal;männlich;1,82;0,26;0,41;0,76;0,39
09476189;Wilhelmsthal;weiblich;1,80;0,27;0,38;0,70;0,46
09476189;Wilhelmsthal;Insgesamt;3,62;0,53;0,79;1,46;0,85
09476444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09476444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09476444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09477117;Grafengehaig, M;männlich;0,44;0,04;0,10;0,18;0,11
09477117;Grafengehaig, M;weiblich;0,43;0,06;0,08;0,18;0,12
09477117;Grafengehaig, M;Insgesamt;0,87;0,10;0,18;0,36;0,23
09477118;Guttenberg;männlich;0,24;0,02;0,06;0,10;0,06
09477118;Guttenberg;weiblich;0,24;0,02;0,05;0,10;0,07
09477118;Guttenberg;Insgesamt;0,47;0,04;0,11;0,20;0,13
09477119;Harsdorf;männlich;0,49;0,08;0,11;0,20;0,09
09477119;Harsdorf;weiblich;0,50;0,07;0,10;0,22;0,11
09477119;Harsdorf;Insgesamt;0,99;0,15;0,22;0,42;0,20
09477121;Himmelkron;männlich;1,71;0,27;0,44;0,67;0,33
09477121;Himmelkron;weiblich;1,81;0,27;0,40;0,71;0,44
09477121;Himmelkron;Insgesamt;3,52;0,54;0,83;1,37;0,78
09477124;Kasendorf, M;männlich;1,22;0,21;0,31;0,49;0,21
09477124;Kasendorf, M;weiblich;1,20;0,18;0,28;0,49;0,25
09477124;Kasendorf, M;Insgesamt;2,42;0,39;0,59;0,98;0,46
09477127;Ködnitz;männlich;0,75;0,11;0,15;0,28;0,21
09477127;Ködnitz;weiblich;0,78;0,11;0,14;0,29;0,25
09477127;Ködnitz;Insgesamt;1,53;0,21;0,30;0,57;0,45
09477128;Kulmbach, GKSt;männlich;12,59;1,88;3,21;4,67;2,84
09477128;Kulmbach, GKSt;weiblich;13,28;1,81;2,80;4,84;3,82
09477128;Kulmbach, GKSt;Insgesamt;25,87;3,69;6,00;9,51;6,66
09477129;Kupferberg, St;männlich;0,53;0,08;0,13;0,20;0,12
09477129;Kupferberg, St;weiblich;0,53;0,08;0,11;0,20;0,14
09477129;Kupferberg, St;Insgesamt;1,06;0,17;0,24;0,39;0,26
09477135;Ludwigschorgast, M;männlich;0,48;0,07;0,12;0,19;0,10
09477135;Ludwigschorgast, M;weiblich;0,50;0,08;0,11;0,19;0,12
09477135;Ludwigschorgast, M;Insgesamt;0,98;0,15;0,22;0,38;0,22
09477136;Mainleus, M;männlich;3,22;0,54;0,78;1,26;0,64
09477136;Mainleus, M;weiblich;3,23;0,49;0,71;1,24;0,79
09477136;Mainleus, M;Insgesamt;6,45;1,03;1,49;2,50;1,44
09477138;Marktleugast, M;männlich;1,56;0,22;0,38;0,61;0,35
09477138;Marktleugast, M;weiblich;1,55;0,17;0,31;0,60;0,48
09477138;Marktleugast, M;Insgesamt;3,11;0,39;0,69;1,21;0,82
09477139;Marktschorgast, M;männlich;0,66;0,08;0,16;0,28;0,15
09477139;Marktschorgast, M;weiblich;0,70;0,10;0,14;0,26;0,20
09477139;Marktschorgast, M;Insgesamt;1,36;0,18;0,30;0,54;0,35
09477142;Neudrossenfeld;männlich;1,83;0,30;0,42;0,74;0,37
09477142;Neudrossenfeld;weiblich;1,91;0,29;0,38;0,79;0,46
09477142;Neudrossenfeld;Insgesamt;3,74;0,59;0,79;1,53;0,83
09477143;Neuenmarkt;männlich;1,48;0,24;0,39;0,56;0,30
09477143;Neuenmarkt;weiblich;1,47;0,18;0,32;0,55;0,42
09477143;Neuenmarkt;Insgesamt;2,95;0,41;0,70;1,12;0,71
09477148;Presseck, M;männlich;0,88;0,10;0,20;0,36;0,21
09477148;Presseck, M;weiblich;0,89;0,12;0,18;0,33;0,25
09477148;Presseck, M;Insgesamt;1,76;0,23;0,38;0,70;0,46
09477151;Rugendorf;männlich;0,47;0,07;0,11;0,20;0,10
09477151;Rugendorf;weiblich;0,49;0,06;0,10;0,20;0,13
09477151;Rugendorf;Insgesamt;0,96;0,13;0,20;0,40;0,22
09477156;Stadtsteinach, St;männlich;1,52;0,25;0,33;0,62;0,33
09477156;Stadtsteinach, St;weiblich;1,58;0,21;0,32;0,60;0,45
09477156;Stadtsteinach, St;Insgesamt;3,10;0,46;0,64;1,22;0,78
09477157;Thurnau, M;männlich;2,00;0,32;0,45;0,81;0,42
09477157;Thurnau, M;weiblich;2,05;0,29;0,42;0,79;0,55
09477157;Thurnau, M;Insgesamt;4,05;0,61;0,87;1,60;0,96
09477158;Trebgast;männlich;0,80;0,13;0,19;0,31;0,18
09477158;Trebgast;weiblich;0,77;0,11;0,17;0,30;0,19
09477158;Trebgast;Insgesamt;1,57;0,23;0,36;0,61;0,37
09477159;Untersteinach;männlich;0,90;0,13;0,20;0,37;0,19
09477159;Untersteinach;weiblich;0,92;0,12;0,20;0,35;0,24
09477159;Untersteinach;Insgesamt;1,81;0,25;0,41;0,72;0,43
09477163;Wirsberg, M;männlich;0,91;0,14;0,24;0,33;0,20
09477163;Wirsberg, M;weiblich;0,93;0,12;0,23;0,32;0,26
09477163;Wirsberg, M;Insgesamt;1,84;0,26;0,47;0,65;0,46
09477164;Wonsees, M;männlich;0,58;0,07;0,17;0,24;0,10
09477164;Wonsees, M;weiblich;0,59;0,08;0,17;0,22;0,12
09477164;Wonsees, M;Insgesamt;1,17;0,15;0,35;0,45;0,22
09478111;Altenkunstadt;männlich;2,65;0,45;0,69;0,96;0,55
09478111;Altenkunstadt;weiblich;2,75;0,41;0,62;1,01;0,70
09478111;Altenkunstadt;Insgesamt;5,40;0,86;1,32;1,97;1,25
09478116;Burgkunstadt, St;männlich;3,13;0,50;0,81;1,22;0,60
09478116;Burgkunstadt, St;weiblich;3,32;0,50;0,73;1,28;0,82
09478116;Burgkunstadt, St;Insgesamt;6,45;0,99;1,54;2,50;1,42
09478120;Ebensfeld, M;männlich;2,84;0,49;0,68;1,10;0,57
09478120;Ebensfeld, M;weiblich;2,76;0,47;0,64;1,05;0,60
09478120;Ebensfeld, M;Insgesamt;5,60;0,96;1,32;2,15;1,17
09478127;Hochstadt a.Main;männlich;0,80;0,13;0,18;0,34;0,16
09478127;Hochstadt a.Main;weiblich;0,82;0,14;0,17;0,32;0,19
09478127;Hochstadt a.Main;Insgesamt;1,62;0,27;0,34;0,66;0,35
09478139;Lichtenfels, St;männlich;9,94;1,56;2,59;3,77;2,02
09478139;Lichtenfels, St;weiblich;10,21;1,50;2,42;3,67;2,62
09478139;Lichtenfels, St;Insgesamt;20,14;3,05;5,01;7,44;4,64
09478143;Marktgraitz, M;männlich;0,56;0,08;0,13;0,23;0,13
09478143;Marktgraitz, M;weiblich;0,58;0,06;0,11;0,21;0,19
09478143;Marktgraitz, M;Insgesamt;1,13;0,14;0,24;0,43;0,32
09478144;Marktzeuln, M;männlich;0,78;0,13;0,20;0,32;0,14
09478144;Marktzeuln, M;weiblich;0,76;0,13;0,17;0,31;0,15
09478144;Marktzeuln, M;Insgesamt;1,54;0,26;0,37;0,63;0,28
09478145;Michelau i.OFr.;männlich;3,13;0,45;0,79;1,22;0,66
09478145;Michelau i.OFr.;weiblich;3,20;0,48;0,72;1,18;0,82
09478145;Michelau i.OFr.;Insgesamt;6,33;0,93;1,51;2,40;1,48
09478155;Redwitz a.d.Rodach;männlich;1,67;0,28;0,41;0,64;0,34
09478155;Redwitz a.d.Rodach;weiblich;1,71;0,28;0,38;0,63;0,42
09478155;Redwitz a.d.Rodach;Insgesamt;3,38;0,55;0,79;1,27;0,76
09478165;Bad Staffelstein, St;männlich;5,09;0,73;1,27;1,93;1,17
09478165;Bad Staffelstein, St;weiblich;5,34;0,69;1,21;1,98;1,47
09478165;Bad Staffelstein, St;Insgesamt;10,43;1,42;2,47;3,91;2,63
09478176;Weismain, St;männlich;2,39;0,39;0,64;0,90;0,47
09478176;Weismain, St;weiblich;2,37;0,36;0,57;0,88;0,55
09478176;Weismain, St;Insgesamt;4,75;0,75;1,20;1,78;1,02
09478444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09478444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09478444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09479111;Bad Alexandersbad;männlich;0,48;0,08;0,12;0,16;0,12
09479111;Bad Alexandersbad;weiblich;0,49;0,06;0,10;0,16;0,18
09479111;Bad Alexandersbad;Insgesamt;0,97;0,14;0,21;0,32;0,30
09479112;Arzberg, St;männlich;2,56;0,36;0,63;0,95;0,62
09479112;Arzberg, St;weiblich;2,57;0,33;0,49;0,96;0,78
09479112;Arzberg, St;Insgesamt;5,13;0,69;1,12;1,92;1,40
09479126;Höchstädt i.Fichtelgebirge;männlich;0,53;0,06;0,12;0,23;0,12
09479126;Höchstädt i.Fichtelgebirge;weiblich;0,54;0,08;0,11;0,22;0,14
09479126;Höchstädt i.Fichtelgebirge;Insgesamt;1,06;0,14;0,22;0,44;0,25
09479127;Hohenberg a.d.Eger, St;männlich;0,73;0,13;0,16;0,27;0,18
09479127;Hohenberg a.d.Eger, St;weiblich;0,73;0,10;0,15;0,26;0,22
09479127;Hohenberg a.d.Eger, St;Insgesamt;1,46;0,23;0,30;0,53;0,40
09479129;Kirchenlamitz, St;männlich;1,55;0,23;0,35;0,61;0,37
09479129;Kirchenlamitz, St;weiblich;1,64;0,22;0,32;0,59;0,50
09479129;Kirchenlamitz, St;Insgesamt;3,19;0,45;0,67;1,20;0,87
09479135;Marktleuthen, St;männlich;1,46;0,21;0,32;0,60;0,33
09479135;Marktleuthen, St;weiblich;1,55;0,20;0,30;0,56;0,50
09479135;Marktleuthen, St;Insgesamt;3,01;0,40;0,62;1,16;0,83
09479136;Marktredwitz, GKSt;männlich;8,29;1,32;2,10;2,96;1,91
09479136;Marktredwitz, GKSt;weiblich;8,94;1,28;1,92;3,04;2,69
09479136;Marktredwitz, GKSt;Insgesamt;17,23;2,61;4,02;6,00;4,60
09479138;Nagel;männlich;0,84;0,10;0,21;0,34;0,19
09479138;Nagel;weiblich;0,86;0,11;0,20;0,33;0,22
09479138;Nagel;Insgesamt;1,69;0,21;0,41;0,67;0,41
09479145;Röslau;männlich;1,04;0,16;0,22;0,43;0,22
09479145;Röslau;weiblich;1,09;0,15;0,23;0,42;0,29
09479145;Röslau;Insgesamt;2,13;0,32;0,45;0,84;0,52
09479147;Schirnding, M;männlich;0,55;0,06;0,09;0,22;0,17
09479147;Schirnding, M;weiblich;0,57;0,07;0,10;0,21;0,20
09479147;Schirnding, M;Insgesamt;1,12;0,13;0,19;0,43;0,37
09479150;Schönwald, St;männlich;1,55;0,26;0,30;0,60;0,39
09479150;Schönwald, St;weiblich;1,67;0,21;0,33;0,59;0,54
09479150;Schönwald, St;Insgesamt;3,22;0,47;0,63;1,19;0,93
09479152;Selb, GKSt;männlich;7,23;1,11;1,77;2,66;1,69
09479152;Selb, GKSt;weiblich;7,67;1,01;1,59;2,78;2,28
09479152;Selb, GKSt;Insgesamt;14,90;2,13;3,36;5,44;3,97
09479158;Thiersheim, M;männlich;0,88;0,11;0,19;0,36;0,22
09479158;Thiersheim, M;weiblich;0,89;0,11;0,16;0,35;0,27
09479158;Thiersheim, M;Insgesamt;1,78;0,22;0,36;0,70;0,50
09479159;Thierstein, M;männlich;0,58;0,10;0,13;0,22;0,13
09479159;Thierstein, M;weiblich;0,58;0,09;0,12;0,22;0,15
09479159;Thierstein, M;Insgesamt;1,16;0,19;0,25;0,44;0,28
09479161;Tröstau;männlich;1,12;0,17;0,24;0,46;0,25
09479161;Tröstau;weiblich;1,11;0,15;0,24;0,43;0,28
09479161;Tröstau;Insgesamt;2,23;0,32;0,49;0,89;0,53
09479166;Weißenstadt, St;männlich;1,54;0,21;0,36;0,60;0,36
09479166;Weißenstadt, St;weiblich;1,56;0,19;0,32;0,63;0,43
09479166;Weißenstadt, St;Insgesamt;3,10;0,41;0,68;1,23;0,79
09479169;Wunsiedel, St;männlich;4,53;0,83;1,10;1,62;0,98
09479169;Wunsiedel, St;weiblich;4,77;0,75;1,06;1,65;1,32
09479169;Wunsiedel, St;Insgesamt;9,30;1,57;2,16;3,27;2,30
09479444;Gemeindefreie Gebiete;männlich;-;-;-;-;-
09479444;Gemeindefreie Gebiete;weiblich;-;-;-;-;-
09479444;Gemeindefreie Gebiete;Insgesamt;-;-;-;-;-
09561000;Ansbach (Krfr.St);männlich;20,02;3,50;5,89;6,89;3,74
09561000;Ansbach (Krfr.St);weiblich;21,78;3,47;5,64;7,44;5,22
09561000;Ansbach (Krfr.St);Insgesamt;41,80;6,97;11,53;14,33;8,97
09562000;Erlangen (Krfr.St);männlich;56,01;9,08;21,19;17,24;8,51
