GENESIS-Tabelle: 12421-104r
Demographiespiegel: Gemeinden, Bevölkerung,;;;;;;;
Geschlecht, Altersgruppen, Stichtag;;;;;;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;;;;;;
31.12.2019;;;;;;;
;;;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung;Ausgangs- bzw. vorausberechnete Bevölkerung
;;;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren;im Alter von ... Jahren
;;;Insgesamt;unter 18;18 bis unter 40;40 bis unter 65;65 oder mehr Jahre
;;;1000;1000;1000;1000;1000
09181111;Apfeldorf;Insgesamt;1,14;0,19;0,31;0,42;0,22
09181113;Denklingen;männlich;1,42;0,27;0,38;0,53;0,25
09181113;Denklingen;weiblich;1,42;0,27;0,36;0,53;0,26
09181113;Denklingen;Insgesamt;2,84;0,53;0,74;1,06;0,51
09181114;Dießen am Ammersee, M;männlich;5,04;0,86;1,14;1,86;1,18
09181114;Dießen am Ammersee, M;weiblich;5,49;0,85;1,03;2,04;1,57
09181114;Dießen am Ammersee, M;Insgesamt;10,53;1,71;2,17;3,90;2,75
09181115;Eching am Ammersee;männlich;0,83;0,14;0,18;0,32;0,18
09181115;Eching am Ammersee;weiblich;0,88;0,13;0,20;0,35;0,20
09181115;Eching am Ammersee;Insgesamt;1,71;0,28;0,38;0,67;0,38
09181116;Egling a.d.Paar;männlich;1,20;0,25;0,31;0,46;0,18
09181116;Egling a.d.Paar;weiblich;1,15;0,24;0,29;0,42;0,21
09181116;Egling a.d.Paar;Insgesamt;2,36;0,48;0,60;0,88;0,39
09181118;Eresing;männlich;1,01;0,21;0,24;0,39;0,18
09181118;Eresing;weiblich;0,92;0,18;0,21;0,36;0,17
09181118;Eresing;Insgesamt;1,93;0,39;0,45;0,75;0,35
09181120;Finning;männlich;0,97;0,20;0,25;0,38;0,15
09181120;Finning;weiblich;0,98;0,21;0,23;0,39;0,15
09181120;Finning;Insgesamt;1,95;0,41;0,48;0,76;0,30
09181121;Fuchstal;männlich;1,99;0,37;0,52;0,77;0,34
09181121;Fuchstal;weiblich;2,00;0,37;0,47;0,75;0,41
09181121;Fuchstal;Insgesamt;3,99;0,73;0,99;1,52;0,75
09181122;Geltendorf;männlich;2,85;0,48;0,77;1,11;0,49
09181122;Geltendorf;weiblich;2,75;0,48;0,62;1,11;0,55
09181122;Geltendorf;Insgesamt;5,59;0,95;1,39;2,21;1,04
09181123;Greifenberg;männlich;1,15;0,21;0,27;0,44;0,23
09181123;Greifenberg;weiblich;1,11;0,17;0,22;0,46;0,27
09181123;Greifenberg;Insgesamt;2,26;0,38;0,49;0,90;0,50
09181124;Hofstetten;männlich;0,96;0,16;0,27;0,37;0,16
09181124;Hofstetten;weiblich;0,93;0,16;0,25;0,36;0,17
09181124;Hofstetten;Insgesamt;1,89;0,31;0,52;0,73;0,33
09181126;Hurlach;männlich;0,98;0,22;0,31;0,32;0,13
09181126;Hurlach;weiblich;0,96;0,22;0,29;0,31;0,14
09181126;Hurlach;Insgesamt;1,94;0,44;0,60;0,63;0,27
09181127;Igling;männlich;1,26;0,24;0,32;0,50;0,20
09181127;Igling;weiblich;1,23;0,21;0,29;0,51;0,23
09181127;Igling;Insgesamt;2,49;0,45;0,60;1,01;0,43
09181128;Kaufering, M;männlich;5,04;0,87;1,34;1,78;1,05
09181128;Kaufering, M;weiblich;5,21;0,85;1,22;1,84;1,29
09181128;Kaufering, M;Insgesamt;10,25;1,72;2,56;3,62;2,34
09181129;Kinsau;männlich;0,52;0,09;0,14;0,21;0,09
09181129;Kinsau;weiblich;0,52;0,11;0,12;0,20;0,09
09181129;Kinsau;Insgesamt;1,04;0,19;0,26;0,40;0,19
09181130;Landsberg am Lech, GKSt;männlich;14,61;2,44;4,38;5,18;2,62
09181130;Landsberg am Lech, GKSt;weiblich;14,62;2,40;3,61;5,20;3,42
09181130;Landsberg am Lech, GKSt;Insgesamt;29,23;4,84;7,98;10,37;6,04
09181131;Obermeitingen;männlich;0,89;0,17;0,27;0,32;0,13
09181131;Obermeitingen;weiblich;0,87;0,18;0,23;0,32;0,14
09181131;Obermeitingen;Insgesamt;1,76;0,35;0,50;0,64;0,27
