GENESIS-Tabelle: 12421-105
Demographiespiegel: Gemeinden, Durchschnittsalter/;;
Jugendquotient/Altenquotient, Stichtage;;
Bevölkerungsvorausberechnungen-Demographiespiegel;;
Durchschnittsalter der Bevölkerung (Jahre);;
;;2019
09182114;Fischbachau;45,2
09182116;Gmund a.Tegernsee;46,5
09182119;Hausham;44,6
09182120;Holzkirchen, M;43,0
09182123;Irschenberg;40,4
09182124;Kreuth;46,8
09182125;Miesbach, St;44,5
09182127;Otterfing;42,9
09182129;Rottach-Egern;52,5
09182131;Schliersee, M;48,6
09182132;Tegernsee, St;50,4
09182133;Valley;41,6
09182134;Waakirchen;44,3
09182136;Warngau;41,9
09182137;Weyarn;42,1
09183112;Ampfing;44,0
09183113;Aschau a.Inn;42,1
09183114;Buchbach, M;44,5
09183115;Egglkofen;43,3
09183116;Erharting;46,7
09183118;Gars a.Inn, M;43,5
09183119;Haag i.OB, M;44,0
09183120;Heldenstein;43,0
09183122;Jettenbach;46,2
09183123;Kirchdorf;42,7
09183124;Kraiburg a.Inn, M;44,8
09183125;Lohkirchen;40,8
09183126;Maitenbeth;42,4
09183127;Mettenheim;41,5
09183128;Mühldorf a.Inn, St;43,3
09183129;Neumarkt-Sankt Veit, St;44,4
09183130;Niederbergkirchen;43,7
09183131;Niedertaufkirchen;42,8
09183132;Oberbergkirchen;41,7
09183134;Oberneukirchen;42,1
09183135;Obertaufkirchen;42,2
09183136;Polling;45,3
09183138;Rattenkirchen;43,5
09183139;Rechtmehring;41,7
09183140;Reichertsheim;41,7
09183143;Schönberg;40,6
09183144;Schwindegg;44,9
09183145;Taufkirchen;43,3
09183147;Unterreit;43,4
09183148;Waldkraiburg, St;44,5
09183151;Zangberg;45,1
09183444;Gemeindefreie Gebiete;-
09184112;Aschheim;41,3
09184113;Baierbrunn;42,4
09184114;Brunnthal;42,7
09184118;Feldkirchen;40,0
09184119;Garching b.München, St;40,7
09184120;Gräfelfing;44,4
09184121;Grasbrunn;42,4
09184122;Grünwald;46,0
09184123;Haar;43,6
09184127;Höhenkirchen-Siegertsbrunn;42,1
09184129;Hohenbrunn;44,1
09184130;Ismaning;43,1
09184131;Kirchheim b.München;45,1
09184132;Neuried;43,7
09184134;Oberhaching;44,1
09184135;Oberschleißheim;43,5
09184136;Ottobrunn;44,0
09184137;Aying;41,1
09184138;Planegg;44,9
09184139;Pullach i.Isartal;45,0
09184140;Putzbrunn;44,3
09184141;Sauerlach;43,0
09184142;Schäftlarn;44,8
09184144;Straßlach-Dingharting;43,8
09184145;Taufkirchen;45,8
09184146;Neubiberg;40,7
09184147;Unterföhring;40,9
09184148;Unterhaching;44,7
09184149;Unterschleißheim, St;43,0
09184444;Gemeindefreie Gebiete;-
09185113;Aresing;43,0
09185116;Berg im Gau;41,0
09185118;Bergheim;43,8
09185123;Brunnen;42,3
09185125;Burgheim, M;44,7
09185127;Ehekirchen;42,0
09185131;Gachenbach;41,9
09185139;Karlshuld;42,3
09185140;Karlskron;42,7
09185143;Langenmosen;41,9
09185149;Neuburg a.d.Donau, GKSt;43,4
09185150;Oberhausen;41,7
09185153;Rennertshofen, M;44,4
09185157;Rohrenfels;42,0
09185158;Schrobenhausen, St;44,5
09185163;Königsmoos;41,3
09185166;Waidhofen;42,6
09185168;Weichering;43,7
09186113;Baar-Ebenhausen;44,6
09186116;Ernsgaden;42,3
09186122;Geisenfeld, St;41,8
09186125;Gerolsbach;42,1
09186126;Hettenshausen;42,3
09186128;Hohenwart, M;43,1
09186130;Ilmmünster;43,3
09186132;Jetzendorf;42,6
09186137;Manching, M;42,4
09186139;Münchsmünster;43,2
09186143;Pfaffenhofen a.d.Ilm, St;43,5
09186144;Pörnbach;42,3
09186146;Reichertshausen;43,7
09186147;Reichertshofen, M;42,8
09186149;Rohrbach;41,8
09186151;Scheyern;43,6
09186152;Schweitenkirchen;41,9
09186158;Vohburg a.d.Donau, St;42,1
09186162;Wolnzach, M;43,1
09187113;Amerang;44,2
09187114;Aschau i.Chiemgau;49,3
09187116;Babensham;41,0
09187117;Bad Aibling, St;45,3
09187118;Bernau a.Chiemsee;46,1
09187120;Brannenburg;44,7
09187121;Breitbrunn a.Chiemsee;47,5
09187122;Bruckmühl, M;44,0
09187123;Chiemsee;51,8
09187124;Edling;43,0
09187125;Eggstätt;45,6
09187126;Eiselfing;42,2
09187128;Bad Endorf, M;44,6
09187129;Bad Feilnbach;44,0
09187130;Feldkirchen-Westerham;44,7
09187131;Flintsbach a.Inn;43,9
09187132;Frasdorf;42,4
09187134;Griesstätt;40,1
09187137;Großkarolinenfeld;43,1
09187138;Gstadt a.Chiemsee;46,8
09187139;Halfing;43,9
09187142;Schechen;42,9
09187145;Höslwang;43,8
09187148;Kiefersfelden;47,4
09187150;Kolbermoor, St;44,5
09187154;Neubeuern, M;44,0
09187156;Nußdorf a.Inn;45,5
09187157;Oberaudorf;47,2
09187159;Pfaffing;43,1
09187162;Prien a.Chiemsee, M;47,8
09187163;Prutting;41,6
09187164;Ramerberg;42,5
09187165;Raubling;44,5
09187167;Riedering;44,0
09187168;Rimsting;46,5
09187169;Rohrdorf;43,3
09187170;Rott a.Inn;42,3
09187172;Samerberg;44,3
09187173;Schonstett;41,2
09187174;Söchtenau;43,1
09187176;Soyen;45,6
09187177;Stephanskirchen;45,1
09187179;Tuntenhausen;41,5
09187181;Vogtareuth;42,1
09187182;Wasserburg a.Inn, St;44,5
09187186;Albaching;40,7
09187444;Gemeindefreie Gebiete;-
09188113;Berg;44,8
09188117;Andechs;42,3
09188118;Feldafing;48,3
09188120;Gauting;44,6
09188121;Gilching;43,4
09188124;Herrsching a.Ammersee;46,4
09188126;Inning a.Ammersee;44,6
09188127;Krailling;46,6
09188132;Seefeld;45,0
09188137;Pöcking;47,0
09188139;Starnberg, St;45,2
09188141;Tutzing;46,9
09188144;Weßling;44,2
09188145;Wörthsee;45,3
09188444;Gemeindefreie Gebiete;-
09189111;Altenmarkt a.d.Alz;45,0
09189113;Bergen;48,0
09189114;Chieming;45,3
09189115;Engelsberg;42,5
09189118;Fridolfing;43,0
09189119;Grabenstätt;46,6
09189120;Grassau, M;45,9
09189124;Inzell;46,9
09189126;Kienberg;43,0
09189127;Kirchanschöring;42,3
09189129;Marquartstein;48,7
09189130;Nußdorf;45,7
09189133;Obing;43,5
09189134;Palling;43,3
09189135;Petting;43,5
09189137;Pittenhart;43,0
09189139;Reit im Winkl;49,4
09189140;Ruhpolding;47,9
09189141;Schleching;49,3
09189142;Schnaitsee;43,0
09189143;Seeon-Seebruck;45,9
09189145;Siegsdorf;46,4
09189146;Staudach-Egerndach;45,2
09189148;Surberg;43,1
09189149;Tacherting;43,7
09189150;Taching a.See;44,1
09189152;Tittmoning, St;44,6
09189154;Traunreut, St;44,9
09189155;Traunstein, GKSt;44,7
09189157;Trostberg, St;46,0
09189159;Übersee;45,0
09189160;Unterwössen;48,3
09189161;Vachendorf;44,2
09189162;Waging a.See, M;44,4
09189165;Wonneberg;41,1
09189444;Gemeindefreie Gebiete;-
09190111;Altenstadt;44,5
09190113;Antdorf;41,2
09190114;Bernbeuren;43,5
09190115;Bernried am Starnberger See;44,6
09190117;Böbing;41,5
09190118;Burggen;42,6
09190120;Eberfing;42,2
09190121;Eglfing;42,5
09190126;Habach;40,8
09190129;Hohenfurch;43,2
09190130;Hohenpeißenberg;47,0
09190131;Huglfing;42,8
09190132;Iffeldorf;44,4
09190133;Ingenried;40,7
09190135;Oberhausen;45,0
09190136;Obersöchering;41,0
09190138;Pähl;44,5
09190139;Peißenberg, M;44,6
09190140;Peiting, M;46,1
09190141;Penzberg, St;44,8
09190142;Polling;44,3
09190143;Prem;46,1
09190144;Raisting;44,1
09190145;Rottenbuch;43,5
09190148;Schongau, St;44,3
09190149;Schwabbruck;42,4
09190151;Schwabsoien;41,8
09190152;Seeshaupt;47,9
09190153;Sindelsdorf;43,0
09190154;Steingaden;44,4
09190157;Weilheim i.OB, St;45,8
09190158;Wessobrunn;42,4
09190159;Wielenbach;44,4
09190160;Wildsteig;42,3
09261000;Landshut (Krfr.St);43,5
09262000;Passau (Krfr.St);43,5
09263000;Straubing (Krfr.St);44,7
09271111;Aholming;44,8
09271113;Auerbach;42,2
09271114;Außernzell;41,5
09271116;Bernried;44,7
09271118;Buchhofen;45,3
09271119;Deggendorf, GKSt;44,4
09271122;Grafling;44,6
09271123;Grattersdorf;45,0
09271125;Hengersberg, M;43,4
09271126;Hunding;44,8
09271127;Iggensbach;44,1
09271128;Künzing;45,9
09271130;Lalling;44,5
09271132;Metten, M;45,1
09271135;Moos;43,8
09271138;Niederalteich;43,1
09271139;Oberpöring;43,5
09271140;Offenberg;43,1
09271141;Osterhofen, St;45,5
09271143;Otzing;43,0
09271146;Plattling, St;44,2
09271148;Schaufling;43,0
09271149;Schöllnach, M;43,7
09271151;Stephansposching;45,3
09271152;Wallerfing;45,6
09271153;Winzer, M;45,0
09272116;Eppenschlag;45,2
09272118;Freyung, St;47,1
09272119;Fürsteneck;45,5
09272120;Grafenau, St;46,1
09272121;Grainet;42,2
09272122;Haidmühle;47,6
09272126;Hinterschmiding;44,4
09272127;Hohenau;45,5
09272128;Innernzell;46,2
09272129;Jandelsbrunn;43,7
09272134;Mauth;47,9
09272136;Neureichenau;44,9
09272138;Perlesreut, M;43,4
09272139;Philippsreut;48,1
09272140;Ringelai;46,1
09272141;Röhrnbach, M;45,2
09272142;Saldenburg;44,8
09272143;Sankt Oswald-Riedlhütte;47,6
09272145;Schöfweg;46,6
09272146;Neuschönau;44,2
09272147;Schönberg, M;46,8
09272149;Spiegelau;48,6
09272150;Thurmansbang;47,3
09272151;Waldkirchen, St;44,5
09272152;Zenting;45,1
09272444;Gemeindefreie Gebiete;-
09273111;Abensberg, St;41,5
09273113;Aiglsbach;43,1
09273115;Attenhofen;43,9
09273116;Bad Abbach, M;43,5
09273119;Biburg;42,6
09273121;Essing, M;44,8
09273125;Hausen;42,1
09273127;Herrngiersdorf;43,0
09273133;Ihrlerstein;45,9
09273137;Kelheim, St;44,0
09273139;Kirchdorf;42,5
09273141;Langquaid, M;41,8
09273147;Mainburg, St;41,9
09273152;Neustadt a.d.Donau, St;42,2
09273159;Painten, M;43,2
09273163;Elsendorf;43,4
09273164;Riedenburg, St;44,4
09273165;Rohr i.NB, M;44,9
09273166;Saal a.d.Donau;45,4
09273172;Siegenburg, M;41,0
09273175;Teugn;41,6
09273177;Train;42,9
09273178;Volkenschwand;43,1
09273181;Wildenberg;43,4
09273444;Gemeindefreie Gebiete;-
09274111;Adlkofen;43,1
09274112;Aham;44,7
